[2025-12-20 13:01:17] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-20 13:01:17] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-20 13:01:46] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-20 13:01:46] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-20 13:02:48] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-20 13:02:48] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-20 13:02:48] Status: 500, URL: http://localhost/timodesk/report/time-sheet/load?month=2025-12, IP: 127.0.0.1
[2025-12-20 13:02:48] Status: 500, URL: http://localhost/timodesk/report/time-sheet/load?month=2025-12, IP: 127.0.0.1
[2025-12-20 13:03:12] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-20 13:03:12] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-20 13:03:27] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-20 13:03:27] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-20 15:03:22] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-20 15:03:22] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-20 15:03:49] Status: 404, URL: http://192.168.30.112/timodesk/admin, IP: 192.168.30.7
[2025-12-20 15:06:54] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-20 15:06:54] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-20 15:07:25] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-20 15:07:25] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-20 15:07:49] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-20 15:07:49] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-20 15:08:21] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
