[2025-12-24 05:52:08] Status: 404, URL: http://dashtimo.test/favicon.ico, IP: 127.0.0.1
[2025-12-24 05:52:28] Status: 500, URL: http://dashtimo.test/activity/screenshots/load?date=12%2F20%2F2025&mode=10min&user=820417, IP: 127.0.0.1
[2025-12-24 05:52:28] Status: 500, URL: http://dashtimo.test/activity/screenshots/load?date=12%2F20%2F2025&mode=10min&user=820417, IP: 127.0.0.1
[2025-12-24 05:53:46] Status: 404, URL: http://dashtimo.test/_debugbar/open?id=01KD7EQAZHVR8087R2HP07XVD1&op=get, IP: 127.0.0.1
[2025-12-24 06:12:47] Status: 404, URL: http://dashtimo.test/_debugbar/open?id=01KD7FT5CYJRWPWG498ARX7BCV&op=get, IP: 127.0.0.1
[2025-12-24 06:13:02] Status: 404, URL: http://dashtimo.test/_debugbar/open?id=01KD7FTM3EWPQBWJA20YF9Q9SS&op=get, IP: 127.0.0.1
[2025-12-24 07:19:28] Status: 404, URL: http://dashtimo.test/_debugbar/open?id=01KD7KM7VQGS4A6NQ5P9RDVNAK&op=get, IP: 127.0.0.1
[2025-12-24 07:25:02] Status: 404, URL: http://dashtimo.test/favicon.ico, IP: 127.0.0.1
[2025-12-24 09:55:34] Status: 404, URL: http://dashtimo.test/_debugbar/open?id=01KD7WJ23F5C10CTK83WD1V76F&op=get, IP: 127.0.0.1
[2025-12-24 10:24:14] Status: 404, URL: http://dashtimo.test/_debugbar/open?id=01KD7Y6JDH0HZ0NVPE2829H9ZE&op=get, IP: 127.0.0.1
[2025-12-24 10:24:14] Status: 404, URL: http://dashtimo.test/_debugbar/open?id=01KD7Y6JDZZKJMSY4MARY3XDTN&op=get, IP: 127.0.0.1
[2025-12-24 10:32:01] Status: 404, URL: http://dashtimo.test/_debugbar/open?id=01KD7YMTQM96NKKE7EB6NM90WE&op=get, IP: 127.0.0.1
[2025-12-24 10:48:48] Status: 404, URL: http://dashtimo.test/_debugbar/open?id=01KD7ZKHDVWE95TAATHYQ5KWMR&op=get, IP: 127.0.0.1
[2025-12-24 11:02:44] Status: 500, URL: http://192.168.30.106/dashtimo/dashboard, IP: 192.168.30.106
[2025-12-24 11:02:44] Status: 500, URL: http://192.168.30.106/dashtimo/dashboard, IP: 192.168.30.106
[2025-12-24 11:31:09] Status: 404, URL: http://192.168.30.106/dashtimo/_debugbar/open?id=01KD821317YMP0CTN8XTVED7P6&op=get, IP: 192.168.30.106
[2025-12-24 12:09:36] Status: 404, URL: http://192.168.30.106/dashtimo/_debugbar/open?id=01KD847G05ETWWN1K74FYD502T&op=get, IP: 192.168.30.106
[2025-12-24 12:48:20] Status: 500, URL: http://192.168.30.106/dashtimo/dashboard, IP: 192.168.30.106
[2025-12-24 12:48:20] Status: 500, URL: http://192.168.30.106/dashtimo/dashboard, IP: 192.168.30.106
[2025-12-24 12:48:22] Status: 500, URL: http://192.168.30.106/dashtimo/dashboard, IP: 192.168.30.106
[2025-12-24 12:48:22] Status: 500, URL: http://192.168.30.106/dashtimo/dashboard, IP: 192.168.30.106
[2025-12-24 13:07:55] Status: 404, URL: http://192.168.30.106/dashtimo/assets/global/js/bootstrap.bundle.min.js.map, IP: 192.168.30.106
[2025-12-24 13:07:55] Status: 404, URL: http://192.168.30.106/dashtimo/assets/global/css/bootstrap.min.css.map, IP: 192.168.30.106
[2025-12-24 14:00:12] Status: 404, URL: http://192.168.30.106/dashtimo/assets/global/js/bootstrap.bundle.min.js.map, IP: 192.168.30.106
[2025-12-24 14:00:12] Status: 404, URL: http://192.168.30.106/dashtimo/assets/global/css/bootstrap.min.css.map, IP: 192.168.30.106
[2025-12-24 14:17:22] Status: 404, URL: http://192.168.30.106/dashtimo/assets/global/js/bootstrap.bundle.min.js.map, IP: 192.168.30.106
[2025-12-24 14:17:22] Status: 404, URL: http://192.168.30.106/dashtimo/assets/global/css/bootstrap.min.css.map, IP: 192.168.30.106
